,"patternSuffix","parent","toCharArray","isParameterizedType","extractMethodArguments","TYPE_ARGUMENT_TYPE_REFERENCE","Util","bit","R_ERASURE_MATCH","type","output","org.emftext.language.java.types.impl.CharImpl@407ce734","QUALIFIED_REFERENCE","methodArguments","isResolved","TYPE","getElementType","isCaseSensitive","method","SUPERTYPE_TYPE_REFERENCE","IMPLICIT_THIS_REFERENCE","argumentsSignatures","patternKind","hasSignatures","org.emftext.language.java.types.impl.CharImpl@4ed12f97","typeArguments","org.emftext.language.java.types.impl.CharImpl@6375fddb","signature","typeName","flags","typeParameters","getMatchMode","splitTypeLevelsSignature","typeSignature","hasTypeParameters","arraycopy","SUPER_REFERENCE","SearchPattern","matchCompatibility","getTypeArguments","MATCH_MODE_MASK","R_CAMELCASE_SAME_PART_COUNT_MATCH","getParent","R_CAMELCASE_MATCH","THIS_REFERENCE","i","parentType","StringBuffer","typeSignatures","isErasureMatch","toString","R_CASE_SENSITIVE","IMPORT_DECLARATION_TYPE_REFERENCE","createTypeSignature","INTERFACE_AND_ANNOTATION_SUFFIX","isCamelCase","replace","getElementName","toSignature","ANNOTATION_TYPE_REFERENCE","CATCH_TYPE_REFERENCE","buffer","getTypeParameters","matchMode","getKey","MATCH_COMPATIBILITY_MASK","FIELD_DECLARATION_TYPE_REFERENCE","org.emftext.language.java.types.impl.CharImpl@55207f1d","toBeReplaced","kind","BindingKey","LOCAL_VARIABLE_DECLARATION_TYPE_REFERENCE","org.emftext.language.java.types.impl.CharImpl@2d84705f","getMatchRule","THROWS_CLAUSE_TYPE_REFERENCE","WILDCARD_BOUND_TYPE_REFERENCE","arg4","isParameterizedMethod","HAS_TYPE_ARGUMENTS","arg0","RETURN_TYPE_REFERENCE","TYPE_VARIABLE_BOUND_TYPE_REFERENCE","parameters","R_EQUIVALENT_MATCH","isEquivalentMatch","rule","org.emftext.language.java.types.impl.CharImpl@65532432","isRawType","getAllTypeArguments","CAST_TYPE_REFERENCE","IJavaSearchConstants","matchDifferentTypeSuffixes","System","CharOperation","bindingKey","getFineGrainFlagString","CLASS_AND_ENUM_SUFFIX","array","JavaSearchPattern","hasTypeArguments","IJavaElement","fineGrain","length","ptr","print","org.emftext.language.java.types.impl.CharImpl@41a14f50","Signature","matchRule","arguments","CLASS_INSTANCE_CREATION_TYPE_REFERENCE","append","PARAMETER_DECLARATION_TYPE_REFERENCE"
"matchCompatibility",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTypeArguments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MATCH_MODE_MASK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_CAMELCASE_SAME_PART_COUNT_MATCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getParent",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_CAMELCASE_MATCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THIS_REFERENCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"parentType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StringBuffer",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"typeSignatures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
