,"BufferOptions","jEdit","evt","getProperty","getWidget","setToolTipText","getBuffer","ToolTipLabel","MouseAdapter","isLoaded","mode","view","arg0","getClickCount","toString","getComponent","buffer","getMode","ModeWidget","addMouseListener","setText"
"BufferOptions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jEdit",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evt",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getProperty",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getWidget",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setToolTipText",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getBuffer",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"ToolTipLabel",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MouseAdapter",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"isLoaded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mode",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"view",1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getClickCount",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"getComponent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buffer",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"getMode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ModeWidget",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"addMouseListener",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"setText",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
