,"getEclipse21Settings","FORMATTER_ALIGNMENT_FOR_MULTIPLE_FIELDS","FORMATTER_ALIGNMENT_FOR_PARAMETERS_IN_METHOD_DECLARATION","textEditSize","FORMATTER_TAB_SIZE","delta","Util","put","indentLevel","FORMATTER_ALIGNMENT_FOR_THROWS_CLAUSE_IN_METHOD_DECLARATION","edits","editedString","options","FORMATTER_COMPACT_ELSE_IF","FORMATTER_BRACE_POSITION_FOR_BLOCK","FORMATTER_BRACE_POSITION_FOR_CONSTRUCTOR_DECLARATION","FORMATTER_NEWLINE_EMPTY_BLOCK","WRAP_ONE_PER_LINE","FORMATTER_INSERT_SPACE_AFTER_OPENING_BRACE_IN_ARRAY_INITIALIZER","FORMATTER_ALIGNMENT_FOR_PARAMETERS_IN_CONSTRUCTOR_DECLARATION","currentPosition","getText","JavaCore","newOptions","defaultCodeFormatter","CodeFormatter","formatter","util","FORMATTER_COMPACT_ASSIGNMENT","FORMATTER_ALIGNMENT_FOR_BINARY_EXPRESSION","formatterNewLineEmptyBlock","FORMATTER_INSERT_NEW_LINE_BEFORE_WHILE_IN_DO_STATEMENT","PRESERVE_ONE","getOptions","internal","indentationLevel","FORMATTER_NEWLINE_OPENING_BRACE","END_OF_LINE","FORMATTER_CLEAR_BLANK_LINES","lineSeparator","formatterClearBlankLines","FORMATTER_ALIGNMENT_FOR_ARGUMENTS_IN_ALLOCATION_EXPRESSION","formatterCompactAssignment","FORMATTER_TAB_CHAR","get","K_UNKNOWN","FORMATTER_NEWLINE_CONTROL","max","i","COMPACT","editsIndex","FORMATTER_INSERT_NEW_LINE_BEFORE_FINALLY_IN_TRY_STATEMENT","equals","FORMATTER_ALIGNMENT_FOR_ARGUMENTS_IN_QUALIFIED_ALLOCATION_EXPRESSION","jdt","FORMATTER_BRACE_POSITION_FOR_SWITCH","FORMATTER_SPACE_CASTEXPRESSION","FORMATTER_ALIGNMENT_FOR_ARGUMENTS_IN_EXPLICIT_CONSTRUCTOR_CALL","FORMATTER_BRACE_POSITION_FOR_ANONYMOUS_TYPE_DECLARATION","FORMATTER_INSERT_SPACE_BEFORE_OPENING_BRACE_IN_ARRAY_INITIALIZER","source","FORMATTER_ALIGNMENT_FOR_ARGUMENTS_IN_METHOD_INVOCATION","FORMATTER_INSERT_SPACE_BEFORE_CLOSING_BRACE_IN_ARRAY_INITIALIZER","originalSourceLength","NEXT_LINE","DefaultCodeFormatterConstants","kind","format","TRUE","DO_NOT_INSERT","positions","FORMATTER_BRACE_POSITION_FOR_TYPE_DECLARATION","eclipse","core","getChildren","FORMATTER_BRACE_POSITION_FOR_ARRAY_INITIALIZER","arg1","INDENT_BY_ONE","arg0","createAlignmentValue","INSERT","FORMATTER_INSERT_SPACE_BEFORE_ASSIGNMENT_OPERATOR","wrapStyle","string","DefaultCodeFormatter","formatterNewLineControl","getOffset","FORMATTER_INSERT_NEW_LINE_BEFORE_CATCH_IN_TRY_STATEMENT","FORMATTER_INSERT_NEW_LINE_BEFORE_ELSE_IN_IF_STATEMENT","formatterNewLineOpeningBrace","FORMATTER_BRACE_POSITION_FOR_METHOD_DECLARATION","org","FORMATTER_CONTINUATION_INDENTATION","length","currentEdit","FORMATTER_INSERT_SPACE_AFTER_CLOSING_PAREN_IN_CAST","indentStyle","formatterNewLineElseIf","textEdit","FORMATTER_NEWLINE_ELSE_IF","FORMATTER_NUMBER_OF_EMPTY_LINES_TO_PRESERVE","getLength","FALSE","FORMATTER_LINE_SPLIT","FORMATTER_INSERT_NEW_LINE_IN_EMPTY_BLOCK"
"getEclipse21Settings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FORMATTER_ALIGNMENT_FOR_MULTIPLE_FIELDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FORMATTER_ALIGNMENT_FOR_PARAMETERS_IN_METHOD_DECLARATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"textEditSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FORMATTER_TAB_SIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Util",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"put",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indentLevel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FORMATTER_ALIGNMENT_FOR_THROWS_CLAUSE_IN_METHOD_DECLARATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
