,"owner","getStartPoint","getLocation","c","setStartConnector","start","targetEnd","existingEnd","p","getConnection","getTarget","getStartConnector","willChange","ChangeConnectionHandle","canConnect","end","setStartPoint","changed"
"owner",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getStartPoint",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getLocation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"setStartConnector",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"start",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"targetEnd",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"existingEnd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getConnection",0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,1
"getTarget",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getStartConnector",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"willChange",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ChangeConnectionHandle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"canConnect",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"end",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setStartPoint",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"changed",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
